date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Feb%202022%2003:51:30%20GMT	http://localhost/wp/meta	C:/My%20Web%20Sites/metabots/localhost/wp/meta.0.delayed	(from )
10:51:32	296/296	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Feb%202022%2003:51:31%20GMT	http://localhost/robots.txt		(from )
10:51:35	68908/68908	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2003:51:31%20GMT	http://localhost/wp/meta/	C:/My%20Web%20Sites/metabots/localhost/wp/meta/index.html	(from )
10:51:35	476/476	---M--	200	added ('OK')	text/css	etag:%221dc-5d779a44334c2%22	http://localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=5.9	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursor271b.css	(from http://localhost/wp/meta/)
10:51:36	1903/1903	---M--	200	added ('OK')	application/rss+xml	etag:%22f44baa7687f16bf1ea1e68ca20c7a8c7%22	http://localhost/wp/feed/	C:/My%20Web%20Sites/metabots/localhost/wp/feed/index.html	(from http://localhost/wp/meta/)
10:51:36	13158/13158	---M--	200	added ('OK')	text/css	etag:%223366-5d780bce4b24d%22	http://localhost/wp/wp-content/plugins/wp-night-mode/public/css/wp-night-mode-public.css?ver=1.0.0	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/plugins/wp-night-mode/public/css/wp-night-mode-public8a54.css	(from http://localhost/wp/meta/)
10:51:36	1638/1638	---M--	200	added ('OK')	application/rss+xml	etag:%2221e6661081c83e2aa54231e5787557e3%22	http://localhost/wp/comments/feed/	C:/My%20Web%20Sites/metabots/localhost/wp/comments/feed/index.html	(from http://localhost/wp/meta/)
10:51:36	5662/5662	---M--	200	added ('OK')	text/css	etag:%22161e-5d61cd73bc480%22	http://localhost/wp/wp-content/themes/twentytwentytwo/style.css?ver=1.0	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/themes/twentytwentytwo/style5152.css	(from http://localhost/wp/meta/)
10:51:37	19050/19050	---M--	200	added ('OK')	text/css	etag:%224a6a-5d779ac92570a%22	http://localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from http://localhost/wp/meta/)
10:51:38	98820/98820	---M--	200	added ('OK')	text/css	etag:%2218204-5d779ac7bb7f5%22	http://localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.5	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.mina25a.css	(from http://localhost/wp/meta/)
10:51:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Feb%202022%2003:51:38%20GMT	http://s.w.org/	C:/My%20Web%20Sites/metabots/s.w.org/index.html	(from http://localhost/wp/meta/)
10:51:40	946/946	---M--	200	added ('OK')	text/css	etag:%223b2-5d779d8b677c4%22	http://localhost/wp/wp-content/uploads/elementor/css/post-7.css?ver=1644293210	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/uploads/elementor/css/post-7f92f.css	(from http://localhost/wp/meta/)
10:51:40	127275/127275	---M--	200	added ('OK')	text/css	etag:%221f12b-5d779a84eb3fc%22	http://localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.5.2	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min49eb.css	(from http://localhost/wp/meta/)
10:51:42	39078/39078	---M--	200	added ('OK')	text/css	etag:%2298a6-5d77acea7e18a%22	http://localhost/wp/wp-content/uploads/elementor/css/global.css?ver=1644297336	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/uploads/elementor/css/global1a84.css	(from http://localhost/wp/meta/)
10:51:43	14875/14875	---M--	200	added ('OK')	text/css	etag:%223a1b-5d78dbe985bbc%22	http://localhost/wp/wp-content/uploads/elementor/css/post-8.css?ver=1644378671	C:/My%20Web%20Sites/metabots/localhost/wp/wp-content/uploads/elementor/css/post-87cc1.css	(from http://localhost/wp/meta/)
